RowMaterial,ServeMeasurement
Salmon Pin Off,KG
Smoked Salmon Slice,KG
Prawn Tempura,PK
Cooked Prawns Tails Off,KG
5LV Sushi Prawn,PK
Seaweed Salad,KG
Ika Sansai Salad,KG
Seavalue Seafood Extender,KG
Masago,500GM
Baby Octopus Salad,KG
Frozen Tuna Meat Ground,KG
Brown Rice 22.5 kg,BAG
Tuna Poach 3KG,KG
Tuna Poach 1KG,KG
Mayonnaise Poach 1KG,KG
Mini Wasabi,BAG
Mini Ginger,BAG
JFC Mini Mayonnaise,BAG
Soy Fish,BAG
Sriracha Sauce,BTL
Black Sesame Seed,BAG
Soft Shell Crab (70-100) ,KG
Daikyo Inari ,BAG
Edamame,BAGS
KB's Prawn Gyoza,KG
KB's Vege Gyoza,KG
Pork Gyoza,KG
Sushi Rice 25KG,BAG
Sushi Rice 18.5KG,BAG
Vinegar 18L,CTN
Katsu Chicken,PCS
Rice Paper,BAG
Sushi Sauce,BTL
Nori Cut Size,BAG
Nori Full Size,BAG
Fried Shallot,KG
5 Star Raw Tuna ,PCS
Teriyaki Chicken 1KG,BAG
Teriyaki Chicken 2.5KG,BAG
Cucumber,PCS
Salad Mix,KG
Carrot,KG
Avocado,PCS